"","moyenne","id","pays","X.","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2021"
"1",589,"tur","turkey",NA,1,4,13,11,4,7,4,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"2",650,"RUS","russia",NA,3,11,15,2,3,1,11,11,16,2,5,7,2,3,NA,NA,3,9
"3",720,"bul","bulgaria",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,14,NA,11
"4",720,"ITA","italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,7,21,3,16,6,5,2,1
"5",882,"SWE","sweden",NA,5,5,19,5,18,18,21,NA,3,1,14,3,1,5,5,7,6,14
"6",888,"UKR","ukraine",NA,14,1,19,7,2,2,12,10,4,15,3,6,NA,1,24,17,NA,5
"7",900,"AUS","australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,9,20,9,NA
"8",958,"AZE","azerbaijan",NA,NA,NA,NA,NA,NA,8,3,5,1,4,2,22,12,17,14,NA,7,20
"9",988,"BEL","belgium",NA,2,22,NA,NA,NA,NA,NA,6,NA,NA,12,NA,4,10,4,NA,NA,19
"10",1000,"arm","armenia",NA,NA,NA,NA,8,8,4,10,7,NA,NA,18,4,16,7,18,NA,NA,NA
"11",1025,"mon","montenegro",NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,19,13,NA,NA,NA,NA,NA
"12",1042,"SRB","serbia",NA,NA,2,7,NA,1,6,NA,13,14,3,NA,NA,10,18,NA,19,17,15
"13",1088,"GRC","greece",NA,17,3,1,9,7,3,7,8,7,17,6,20,19,NA,19,NA,21,10
"14",1130,"bos","bosnia",NA,16,9,14,3,11,10,9,17,6,18,NA,NA,NA,NA,NA,NA,NA,NA
"15",1140,"NOR","norway",NA,4,24,9,14,NA,5,1,20,NA,26,4,8,8,NA,10,15,5,18
"16",1142,"DNK","denmark",NA,NA,NA,9,18,NA,15,13,4,5,23,1,9,NA,NA,19,9,12,NA
"17",1150,"SUI","switzerland",NA,NA,NA,8,16,NA,NA,NA,NA,25,NA,NA,13,NA,NA,NA,NA,4,3
"18",1186,"ROU","romania",NA,10,18,3,4,13,20,19,3,17,12,13,12,15,NA,7,NA,NA,NA
"19",1200,"mol","moldova",NA,NA,NA,6,20,10,NA,14,22,12,11,11,NA,NA,NA,3,10,NA,13
"20",1200,"NLD","pays-bas /the netherlands",NA,13,20,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,11,11,18,1,23
"21",1243,"geo","georgia",NA,NA,NA,NA,NA,12,11,NA,9,9,NA,15,NA,11,20,NA,NA,NA,NA
"22",1300,"ast","austria",NA,6,21,NA,NA,NA,NA,NA,NA,18,NA,NA,1,26,13,16,3,NA,NA
"23",1300,"MKD","north macedonia",NA,NA,14,17,12,14,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,8,NA
"24",1329,"let","letonia",NA,24,NA,5,16,16,11,NA,NA,NA,NA,NA,NA,6,15,NA,NA,NA,NA
"25",1345,"ISL","iceland",NA,8,19,NA,NA,NA,14,2,19,20,20,17,15,NA,NA,NA,NA,10,4
"26",1388,"EST","estonia",NA,21,NA,NA,NA,NA,NA,6,NA,24,6,20,NA,7,NA,NA,8,19,NA
"27",1400,"CZE","czech republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,6,11,NA
"28",1433,"ISR","israel",NA,19,NA,4,23,NA,9,16,14,NA,NA,NA,NA,9,14,23,1,23,17
"29",1440,"ALB","albania",NA,NA,7,16,NA,NA,16,17,16,NA,5,NA,NA,17,NA,NA,11,18,21
"30",1500,"hun","hungary",NA,NA,NA,12,NA,9,NA,NA,NA,22,24,10,5,20,19,8,21,NA,NA
"31",1520,"LTU","lithuania",NA,NA,NA,NA,6,21,NA,23,NA,19,14,22,NA,18,9,NA,12,NA,8
"32",1529,"POR","portugal",NA,22,NA,NA,NA,NA,13,15,18,NA,NA,NA,NA,NA,NA,1,26,NA,12
"33",1563,"CRO","croatia",NA,15,12,11,12,NA,21,18,NA,NA,NA,NA,NA,NA,23,13,NA,NA,NA
"34",1564,"MLT","malta",NA,25,12,2,24,NA,NA,22,NA,NA,21,8,23,NA,12,NA,NA,16,7
"35",1609,"CYP","cyprus",NA,20,5,18,NA,NA,NA,NA,21,NA,16,NA,NA,22,21,21,2,15,16
"36",1639,"FRA","france",NA,18,15,23,22,22,18,8,12,15,22,23,26,25,6,12,13,13,2
"37",1643,"POL","poland",NA,7,17,NA,NA,NA,24,NA,NA,NA,NA,NA,14,23,8,22,NA,NA,NA
"38",1689,"fin","finland",NA,NA,NA,NA,1,17,22,25,NA,21,NA,24,11,NA,NA,NA,25,NA,6
"39",1706,"DEU","all / germany",NA,11,8,24,14,19,23,20,1,10,8,21,18,26,26,25,4,24,25
"40",1733,"BLR","belarus",NA,NA,NA,NA,NA,6,NA,NA,24,NA,NA,16,16,NA,NA,17,NA,25,NA
"41",1767,"IRL","ireland",NA,11,22,NA,10,24,NA,NA,23,8,19,26,NA,NA,NA,NA,16,NA,NA
"42",1786,"SVN","slovenia",NA,23,NA,NA,NA,15,NA,NA,NA,13,NA,NA,25,14,NA,NA,22,13,NA
"43",1894,"ESP","esp / spain",NA,8,10,21,21,20,16,24,15,23,10,25,10,21,22,26,23,22,24
"44",2061,"GBR","roy / united kingdom",NA,26,16,22,19,22,25,5,25,11,25,19,17,24,24,15,24,26,26
"45",2200,"SMR","san marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,20,22
